artists,name,genres
DJ Jazzy Jeff & The Fresh Prince,Summertime,"90s, Hip-Hop, summer, rap, hip hop"
Mijares,No Hace Falta,"80s, Baladas Romantic, latin, romanticas, Baladas"
"Kuana Torres Kahele,  Napua Greig,  James Ford Murphy",Lava,Unknown
Chad Lawson Trio,Angels We Have Heard on High,"jazz, christmas"
"Big Wild,  Yuna,  Cabu",Empty Room - Cabu Remix,Unknown
A Day To Remember,Mr. Highway's Thinking About the End,"post-hardcore, hardcore, metalcore, screamo, A Day To Remember"
Scooter,Nessaja,"techno, dance, trance, Rave, scooter"
"Granger Smith,  Earl Dibbles Jr.",Don't Tread on Me (feat. Earl Dibbles Jr.),Unknown
Banda Zeta,La niña fresa,Banda Zarape
Pat Carroll,"Poor Unfortunate Souls - From ""The Little Mermaid"" / Soundtrack Version",Unknown
"Trey Songz,  Nicki Minaj","Touchin, Lovin (feat. Nicki Minaj)","Hip-Hop, hip hop, rnb, best of 2014, Love this song"
Three Days Grace,Gone Forever,"rock, alternative rock, hard rock, alternative, three days grace"
Tito Puente,Oye Cómo Va,"latin jazz, flute, horns, 4, whistling"
Leon Bridges,Better Man,"soul, saxophone, singer-songwriter, fip, doo wop"
Casting Crowns,Oh My Soul,Unknown
$uicideBoy$,Say Cheese And Die,"hip hop, trap, Horrorcore, memphis rap, Southern Hip Hop"
Oasis,Whatever - Remastered,"pop rock, britpop, alternative rock,  alternative,  alternative rock"
Sy Ari Da Kid,TLC,Unknown
Smallpools,Dreaming,"pop, indie pop, fun, summer, indie rock"
"Pouya,  Shakewell",Terminal Sex,Unknown
"Kendrick Lamar,  Bilal,  Anna Wise,  Snoop Dogg",Institutionalized,"jazz rap, Conscious Hip Hop, experimental hip hop, Hip-Hop, hip hop"
Omarion,Ice Box,"rnb, Omarion, Ice Box, r&b, Hip-Hop"
Ariana Grande,Wit It This Christmas,"christmas, female vocalists, rnb, love at first listen, Hip-Hop"
Ariana Grande,True Love,"christmas, Love, <3, Hip-Hop, seen live"
"Noname,  Phoelix,  Smino,  Saba","Shadow Man (feat. Phoelix, Smino & Saba)","Hip-Hop, hip hop, chicago, jazz rap, Conscious Rap"
Kanye West,Highlights,"hip hop, rap, pop rap, Young Thug, hiphop"
Halestorm,I Get Off,"hard rock, rock, female vocalists, post-grunge, alternative rock"
"Drake,  PARTYNEXTDOOR",Preach,"hip hop, chillout, partynextdoor, Hip-Hop, chill"
Tim Maia,Azul Da Cor Do Mar,"mpb, soul, brasil, Tim Maia, brazilian"
Panic! At The Disco,Impossible Year,"alternative, Fucking masterpiece, electronic, electropop, pop"
Adele,Million Years Ago,"soul, folk, Ballad, Adele, pop"
All Time Low,Missing You,"pop, rock, punk, pop rock, acoustic"
White Noise Therapy,Clean White Noise,Unknown
TOOL,Right In Two,"Progressive metal, Progressive rock, tool, metal, rock"
Thousand Foot Krutch,War of Change,"rock, alternative rock, alternative, Nu Metal, christian rock"
MF DOOM,Coffin Nails,"instrumental, instrumental hip-hop, beats, underground hip-hop, Hip-Hop"
David Coffin,Roll the Old Chariot Along,"folk, sea, sea shanty"
Vagon Chicano,La Moneda,Unknown
Jukebox The Ghost,Girl,"power pop, love at first listen"
Groove Armada,At the River,"chillout, electronic, lounge, downtempo, chill"
Skrillex,Scary Monsters and Nice Sprites,"dubstep, electronic, Skrillex, electro, Brostep"
Mac Miller,Senior Skip Day,"hip hop, rap, Awesome, brass, Favorite"
Airbourne,"Too Much, Too Young, Too Fast","hard rock, rock, australian, rock n roll, classic rock"
Atlas Genius,Trojans,"indie, indie rock, Electro Pop, 2010s, australian"
Maná,Ojalá Pudiera Borrarte,"latin, Rock en Espanol, ojala pudiera borrarte, rock, relaxed"
Richard Smithfield,Home for the Holidays,christmas
Falling In Reverse,Bad Girls Club,"post-hardcore, metalcore, pop punk, post hardcore, electropop"
"Earl Sweatshirt,  Vince Staples,  Casey Veggies",Hive (feat. Vince Staples & Casey Veggies),"rap, Hip-Hop, hip hop, underground hip-hop, FUCKING AWESOME"
Los Alegres de la Sierra,De Rodillas Te Pido,Unknown
Red Hot Chili Peppers,Desecration Smile,"rock, alternative rock, alternative, Red Hot Chili Peppers, funk"
Alanis Morissette,Head over Feet - 2015 Remaster,"rock, alternative rock, pop rock, a, if this were a pokemon i would catch it"
Method Man,Got To Have It,"Hip-Hop, rap, hip hop, Method Man, new york"
Yelawolf,Pop The Trunk,"southern rap, rap, Alabama, Hip-Hop, Yelawolf"
Tegan and Sara,Closer,"pop, indie pop, indie, Canadian, female vocalists"
Luther Vandross,I'd Rather,"soul, luther vandross, love songs, rnb, smooth"
Cody Johnson,Wild as You,"country, Ballad, 2010s, 2017"
Beirut,Postcards from Italy,"folk, indie, indie folk, balkan, Gypsy"
The Killers,For Reasons Unknown,"rock, indie rock, indie, alternative rock, alternative"
Red Hot Chili Peppers,Charlie,"rock, alternative, Funk Rock, Red Hot Chili Peppers, funk"
"Mac Miller,  Action Bronson",Red Dot Music,"abstract hip hop, boom bap"
Frank Sinatra,The Christmas Waltz - Remastered,Unknown
"Sérgio Mendes,  Black Eyed Peas",Mas Que Nada,"Bossa Nova, samba, latin, brazilian, jazz"
Robyn,Show Me Love - Radio Version,1997
Foo Fighters,This Is a Call,"rock, alternative rock, Grunge, 90s, alternative"
Rancid,Ruby Soho,"punk, punk rock, ska punk, rancid, ska"
"Mac Miller,  Earl Sweatshirt",I'm Not Real,"mac miller, earl sweatshirt"
Inner Wave,American Spirits,Unknown
Elvis Presley,Santa Claus Is Back In Town,"christmas, rock, Elvis Presley, xmas, 50s"
Paramore,Playing God,"rock, Paramore, pop punk, alternative, female vocalists"
Aaliyah,I Don't Wanna,"rnb, Aaliyah, female vocalists, r&b, soul"
"Ty Dolla $ign,  B.o.B",Paranoid (feat. B.o.B),"hip hop, 2014, dj mustard, Hip-Hop, nice"
MF DOOM,Gas Drawls,"hip hop, Hip-Hop, rap, underground hip-hop, american"
Marco Barrientos,Ven Espíritu Ven,Unknown
The Growlers,Going Gets Tough,fip
Banda San Jose De Mesillas,Como La Palma De Mi Mano,Unknown
Incubus,Stellar,"rock, alternative rock, alternative, incubus, Guitar Hero"
Willamette Stone,Heart Like Yours,"love at first listen, the best music of all romantic movies"
Bush,Comedown,"rock, Grunge, 90s, alternative rock, alternative"
"Slick Rick,  Outkast",Street Talkin',"Hip-Hop, rap, old school, slick rick, 90s"
Belanova,Tus Ojos,"pop, latin pop, electropop, electronic, mexico"
Hillsong Worship,What A Beautiful Name - Live,Unknown
Banda Cuisillos,Perdóname,Unknown
The 1975,The Sound,"pop, indie pop, electronic, alternative, indie rock"
"Meryl Streep,  Amanda Seyfried",Slipping Through My Fingers - From 'Mamma Mia!' Original Motion Picture Soundtrack,Unknown
"Glenn Close,  Phil Collins",You'll Be In My Heart,"Soundtrack, Disney, Glenn Close, edhits, my scribbled"
blink-182,Aliens Exist,"punk rock, pop punk, punk, rock, Blink 182"
blink-182,Dumpweed,"punk rock, pop punk, punk, rock, Blink 182"
Kevin Gates,Out the Mud,"american honey, Adam Kimmel, Adam Kimmel Cinematographer, kimmel adam cinematographer, Cinematographer Adam Kimmel"
Los Estramboticos,La Herida,Rock en Espanol
"Pierce Brosnan,  Meryl Streep",SOS - From 'Mamma Mia!' Original Motion Picture Soundtrack,Unknown
"Jowell & Randy,  De La Ghetto",Un Poco Loca (feat. De La Ghetto),"fav songs, male, Awesome, Reggaeton, cool"
"Maia Wilson,  Cast - Frozen","Fixer Upper - From ""Frozen""/Soundtrack Version",Unknown
Flipsyde,Someday,"Hip-Hop, rap, rock, rapcore, Flipsyde"
Miguel Y Miguel,Sonora Y Sus Ojos Negros,"spanish, ranchera, norteño, regional mexican, Favoritos"
Dierks Bentley,Black,"country, Ballad, 2010s, 2016"
The Champs,Tequila,"oldies, 50s, instrumental, rock n roll, rock"
Marcy Playground,Sex And Candy,"90s, rock, alternative, alternative rock, Grunge"
Roupa Nova,Dona,"Roupa Nova, mpb, brasil, anos 80, pop"
D:Ream,Things Can Only Get Better,"90s, dance, pop, House, Energetic"
Los Alegres Del Barranco,El 701,Unknown
Kesha,Grow A Pear,"pop, electronic, dance, electropop, female vocalists"
Mac Miller,Loud,"mac miller, rap, Hip-Hop, loud, car"
Münchener Freiheit,Ohne Dich (schlaf' ich heut Nacht nicht ein),"deutsch, 80s, Schlager, pop, german"
Rockabye Lullaby,Can You Feel The Love Tonight - Lion King,Unknown
Rockabye Lullaby,When She Loved Me - Toy Story 2,Unknown
Novos Baianos,Mistério do Planeta,"brasil, mpb, tropicalia, psychedelic, samba"
Paco de Lucía,Entre Dos Aguas,"Flamenco, guitar, spanish, instrumental, guitar virtuoso"
"Counting Crows,  Vanessa Carlton",Big Yellow Taxi,"pop, rock, alternative, 90s, cover"
Djavan,Oceano,"mpb, brasil, brazilian, Djavan, Bossa Nova"
Aphex Twin,#3,"ambient, electronic, beautiful, Rhubarb, best song ever"
Nicki Minaj,Did It On’em,"Hip-Hop, hip hop, rap, nicki minaj, Hard"
Sade,Kiss of Life,"soul, Sade, female vocalists, jazz, chillout"
Al Corley,Square Rooms,"80s, pop, new wave, al corley, rock"
John Fogerty,Centerfield,"classic rock, john fogerty, rock, Southern Rock, centerfield"
Pepper,Stone Love,"reggae, ska, dub, Pepper, alternative"
Alan Jackson,Let It Be Christmas,"christmas, country christmas, country, holiday, jo"
Los Tigrillos,Mira oye,"los tigrillos-miya oye, cumbia, spanish, dance, up"
Usher,Hey Daddy (Daddy's Home),"Usher, rnb, r&b, male vocalists, The Runners"
Jon Langston,Forever Girl,Unknown
Die Toten Hosen,Hier kommt Alex,"punk rock, rock, german, punk, deutsch"
Laura Pausini,La solitudine,"italian, pop, Laura Pausini, female vocalists, romantic"
Los Tigres Del Norte,Directo Al Corazón,"latino, Cantautores, Romantica, autocantantes, corridos mexicanos"
Los Tucanes De Tijuana,Mundo De Amor,Unknown
Frank Sinatra,White Christmas - Remastered 1999,christmas
We Came As Romans,Glad You Came,"cover, post-hardcore, hardcore, melodic metalcore, amazing"
Whitney Houston,Do You Hear What I Hear?,"christmas, Christmas Music, pop, 80s, xmas"
Los Tucanes De Tijuana,Mis Tres Animales,"regional mexican, pandora, My Fave Artists, mutt attack, mis tres amimales"
Naughty By Nature,Feel Me Flow,"rap, hip hop, 90s, Hip-Hop, naughty by nature"
Shania Twain,No One Needs To Know,"country, female vocalists, Shania Twain, 90s, pop"
Adina Howard,Freak Like Me,"90s, rnb, sexy, hip hop, Hip-Hop"
Charlie Parker,Summertime,"jazz, saxophone, summertime, blues, instrumental"
Collective Soul,December,"90s, rock, alternative rock, alternative, Collective Soul"
Panjabi MC,Mundian to Bach Ke,"Bhangra, Indian, dance, Punjabi, world"
Nelly,E.I.,"rap, Hip-Hop, Nelly, hip hop, rnb"
Juanes,Gotas De Agua Dulce,"latin, Juanes, pop, spanish, Colombia"
Lonestar,I'm Already There,"country, lonestar, modern country, Love, favorites"
Matchbox Twenty,She's so Mean,"rock, alternative rock, alternative, Love, matchbox twenty"
"David Guetta,  Chris Willis,  Fred Riester,  Joachim Garraud",Love Is Gone - Fred Riester & Joachim Garraud Radio Edit Remix,Unknown
"""Livin Joy""",Dreamer - Janice Robinson Vocal,Unknown
Toby Keith,I Wanna Talk About Me,"country, toby keith, favorites, My Favorites, fun"
RPM,Olhar 43,"80s, rock, rock brasileiro, brasil, RPM"
Patricio Rey y sus Redonditos de Ricota,La Bestia Pop,"Soundtrack, argentina, childhood, Patricio Rey y sus Redonditos de Ricota, casi angeles"
Smash Mouth,I'm A Believer - Radio Edit,"pop, rock, cover, power pop, pop rock"
DJ BoBo,Let the Dream Come True,"eurodance, dance, 90s, Dj BoBo, techno"
"Selda Bağcan,  Ahmet Kaya",Öyle Bir Yerdeyim ki,"80s, folk, female vocalists, world, 1986"
Dr. Dre,Keep Their Heads Ringin',"Hip-Hop, rap, dr dre, Gangsta Rap, 90s"
Ludacris,Rollout (My Business),"rap, Hip-Hop, Ludacris, hip hop, Dirty South"
Perry Como,(There's No Place Like) Home for the Holidays - 1954 Version,"christmas, oldies, holiday, Mr como"
Toby Keith,How Do You Like Me Now?!,"country, toby keith, my favorite, 90s, male vocalists"
"Eric Clapton,  B.B. King",Riding with the King,"blues, blues rock, classic rock, rock, Awesome"
Jamie Cullum,What A Difference A Day Made,"jazz, Smooth Jazz, vocal jazz, piano, jamie cullum"
"Vedo,  Natasha Mosley",4 Walls,banned
Glass Animals,Toes,"indie, electronic, alternative, indie rock, fip"
"Fetty Wap,  Monty",679 (feat. Monty),trap
The Weeknd,Love In The Sky,"rnb, r&b, Canadian, japan, 2013"
Los Del Rio,Macarena,"dance, 90s, latin, pop, party"
Pentatonix,Joy to the World,Unknown
Green Day,Hitchin' a Ride,"punk rock, punk, rock, green day, alternative"
Caballo Dorado,Payaso de rodeo,"country, line dance, latin, mexicano, spanish"
Chris Stapleton,Outlaw State Of Mind,"country, 2010s"
Los Temerarios,Ahora Pienso Más en Ti,Unknown
Pixies,Where Is My Mind?,"alternative, rock, alternative rock, indie, indie rock"
Lorde,Bravado,"pop, synthpop, dance, electronic, female vocalists"
"Barrett Wilbert Weed,  Ryan McCartan",Dead Girl Walking,"Love, musical, aggressive, sex, femdom"
Jake Owen,American Country Love Song,"country, 2010s, 2016"
The Weeknd,Professional,"electronic, rnb, The Weeknd, new age, Canadian"
The Weeknd,Pretty,"r&b, Canadian, 2013, 10s, The Weeknd"
