artists,name,genres
Lester Young,Ding Dong,"jazz, tenorsaxophone"
Lester Young,Exercise In Swing,jazz
Silu Wang,Sonata Alla Toccata: Mvt. I. Maestoso: Allegro ritmico e jubilante,Unknown
"The New Christy Minstrels,  Larry Ramos,  Barry McGuire",John Henry and the Steam Drill (feat. Larry Ramos & Barry McGuire),Unknown
"La Sonora Matancera,  Celia Cruz",Mi Soncito,Unknown
"Herb Ellis,  Charlie Byrd",Three Quarter Blues,Unknown
Otis Rush,Violent Love,"blues, Chicago Blues, 50s, blues rock radio deutschland, blues rock radio germany"
Les Brown,Sentimental Journey,"Big Band, jazz, swing, 1940s, swing to big band and 40s"
"John Kander,  Chita Rivera,  Chicago Ensemble,  Stanley Lebowsky","All That Jazz (from ""Chicago"")",Unknown
Ulrich Schnauss,Ten Years - 2019 Version,shoegaze
The Chieftains,Comb Your Hair and Curl It / The Boys of Ballisodare,"folk, Irish Folk, 60s, instrumental, celtic"
Doris Day,Sorry,"female vocalists, oldies, the old kitchen radio on Avenue B"
The Cadillacs,I Wonder Why ?,my music discovery
Chico Hamilton,Goodbye Baby,Unknown
Noel Coward,20th Century Blues,"jazz, singer-songwriter, blues, nostalgic, party music"
"Fred Waring,  The Pennsylvanians",Silver Bells,Unknown
Bodyrockers,I Like The Way - Radio Edit,"rock, dance, electronic, alternative rock, indie rock"
"Ilan Bluestone,  EL Waves",We Are The Universe,Unknown
"The Carter Family,  Johnny Cash",Worried Man Blues,"country, old timey, folk, old-country, 30s"
Buffy Sainte-Marie,Babe In Arms,"As above so below, chord structure ftw, ogun la baraka, vocal performance of the spheres"
Chet Baker,These Foolish Things (Remind Me Of You),"jazz, trumpet, cool jazz, Smooth Jazz, cool"
"""Anita ODay"",  Oscar Peterson Quartet",Them There Eyes,Unknown
Yusef Lateef,The Beginning,"jazz fusion, songs about beginnings"
"Richard Strauss,  Fritz Reiner,  Chicago Symphony Orchestra","Also sprach Zarathustra, Op. 30: I. Sunrise",Unknown
Don Wilkerson,Pigeon Peas,Unknown
Nelson Riddle,Music to Eat By (Mother And Humbert at Dinner),Unknown
Dean Martin,I Want You,Unknown
Dean Martin,Where Can I Go Without You?,Unknown
"Chet Baker,  Gerry Mulligan",There Will Never Be Another You - Live,Unknown
Thelonious Monk,Work,"fip, jazz piano, thelonious monk, Metro Jazz"
Mose Allison,Idyll,"vocal, jazz, instrumental"
Yves Montand,Grands boulevards,"chanson francaise, chanson, yves montand, french, live"
Geeta Dutt,Ja Ja Ja Bewafa,Unknown
Dean Martin,I Feel Like A Feather In The Breeze,Unknown
"Thelonious Monk,  Sonny Rollins",Friday The 13th,"jazz, bebop, piano, thelonious monk, palm court alley"
Frank Sinatra,Indescreet,Unknown
Frank Sinatra,Together,"jazz, 60s"
Johnny Cash,Accidentally on Purpose,Unknown
Fred Jackson,Dippin' In The Bag,"jazz, saxophone"
