artists,name,genres
Madonna,Into the Groove - Edit,"Madonna, mother, legend, goat, icon"
Alice In Chains,Grind,"Grunge, alternative rock, rock, hard rock, 90s"
Wings,Wild Life - Remastered 2018,Unknown
Dave Brubeck,O Tannenbaum,"christmas, christmas joy"
"King Tee,  Ice Cube,  Breeze",Played Like A Piano,"Hip-Hop, piano, Gangsta Rap, underground hip hop, True Hip Hop"
Mocedades,"Amor de Hombre (De ""La Leyenda del Beso"")",Best Latin Songs
Danny Berrios,Yo Quiero Ser Como Tú,Unknown
Valentín Elizalde,Amor Prisionero,Unknown
LFO,Girl On TV,"pop, 1999, summer, favorites, happy"
The Rolling Stones,Bitch - 2009 Mix,Unknown
Joe Dassin,Dans les yeux d'Emilie,"french, Joe Dassin, emily, francia mia favoritos, de todo mio favoritos"
José José,A Esa,"Disco, 80s, 90s, a  esa, A ESA"
The Kinks,Come Dancing,"80s, rock, classic rock, british invasion, british"
El Coyote Y Su Banda Tierra Santa,Juan Ramos,JUAN RAMOS
"Jennifer Warnes,  Stevie Ray Vaughan",First We Take Manhattan - Digitally Remastered,pop
The Impressions,It's All Right,"soul, rhythm and blues, 60s, good mood, old school"
Neil Sedaka,You Mean Everything to Me,"oldies, 60s, pop, Neil Sedaka, 1960s"
"Narada Michael Walden,  Patti Austin",Gimme Gimme Gimme (with Patti Austin),"soul, 80s, feel good, duet, 80s Pop"
Alice Cooper,Under My Wheels,"hard rock, rock, classic rock, glam rock, 70s"
Zacarias Ferreira,Si Tú Me Dices Ven (El Lodo),Unknown
Tribal Seeds,In Your Eyes,"reggae, electronic, indie, rock, british"
Enya,Boadicea,"new age, celtic, enya, ambient, female vocalists"
Wynonna,Burnin' Love (from the motion picture Lilo & Stitch),Unknown
John Lennon,How Do You Sleep? - Remastered 2010,Paul McCartney diss track
Dru Down,Pimp Of The Year,"Pimp of the year, hip hop, rap, dru down, West Coast Rap"
Bob Crosby & The Bob Cats,Happy Times—from 1949 show “Inspector General”,"fallout 3, fallout, Galaxy News Radio, jazz, games"
Audioslave,Getaway Car,"rock, alternative rock, hard rock, Audioslave, alternative"
Pokémon,Pokérap,"Pokemon, Soundtrack, hiphop, anime, black metal"
Elvis Costello & The Attractions,Everyday I Write The Book,"80s, singer-songwriter, pop, new wave, alternative"
Thelonious Monk,Monk's Dream - Take 8,"jazz, bebop"
Phil Collins,Everyday - 2015 Remastered,Unknown
Los Tucanes De Tijuana,El Guero Palma,Unknown
Everything But The Girl,I Don't Want to Talk About It - 2012 Remaster,Unknown
Mariah Carey,I Don't Wanna Cry,"pop, 90s, rnb, female vocalists, Mariah Carey"
Darlene Love,White Christmas,"christmas, phil spector, female vocalists, xmas motown, wall of sound"
Pantera,Heresy,"thrash metal, metal, groove metal, heavy metal, pantera"
Pixies,Velouria,"rock, alternative rock, indie, alternative, indie rock"
Los Tucanes De Tijuana,El Borrego,tucanes
Deftones,Engine No. 9,"Nu Metal, metal, alternative metal, Deftones, rock"
"The Soca Boys,  Van B. King",Follow The Leader,"soca, english, malta, stimmung, aiesec dance"
El Tri,Metro balderas,"Latin Rock, rock en español"
Blind Melon,No Rain - Remastered 2002,Unknown
"Wolfgang Amadeus Mozart,  Jenő Jandó,  Concentus Hungaricus,  András Ligeti","Piano Concerto No. 12 in A Major, K. 414: II. Andante",Unknown
Nara Leão,Outra Vez,"Bossa Nova, brazilian, jazz, pop, female vocalists"
Children Of Bodom,Children Of Bodom,"Melodic Death Metal, death metal, metal, Power metal, children of bodom"
Violent Femmes,Gone Daddy Gone,"80s, alternative, rock, alternative rock, indie"
Poor Righteous Teachers,Word Iz Life,"hip hop, rap, Hip-Hop, classic, Awesome"
Rodríguez,Cause,"ost, all time fav, songrider"
"MF DOOM,  Megalon",Operation: Greenbacks,"hip hop, rap, experimental hip hop, british, new york"
Bo Diddley,You Can't Judge A Book By It's Cover,"blues, Rock and Roll, rock, rhythm and blues, Bo Diddley"
"Fort Minor,  John Legend",High Road (feat. John Legend),"Hip-Hop, rap, hip hop, alternative rap, Fort Minor"
John Mayer,Quiet - EP Version,Unknown
Social Distortion,Don't Drag Me Down,"punk rock, punk, rock, melodic punk, rock n roll"
Jean-Michel Jarre,"Equinoxe, Pt. 5","electronic, ambient, 70s, instrumental, experimental"
Shania Twain,You Win My Love,"country, Shania Twain, pop, 90s, rock"
TOOL,Sweat,"Progressive metal, Progressive rock, metal, tool, alternative metal"
Pearl Jam,"Hail, Hail","Grunge, rock, alternative rock, alternative, 90s"
Los Tigres Del Norte,Ya Te Vele,Unknown
Los Angeles De Charly,Otra Noche Sin Ti,Unknown
"""Sinéad OConnor""",Last Day of Our Acquaintance,Unknown
Willie Dixon,Little Red Rooster,"blues, Chicagoblues, freedom, Classic Blues, Willie Dixon"
AC/DC,The Razors Edge,"hard rock, rock, classic rock, ACDC, 90s"
The Fray,All at Once,"alternative, rock, indie, The Fray, piano rock"
"Los Panchos,  Javier Solís",En Mi Viejo San Juan (with Javier Solís),Unknown
Dinah Washington,Cry Me A River,"jazz, female vocalists, dinah washington, vocal jazz, oldies"
Aerosmith,What It Takes,"rock, classic rock, hard rock, aerosmith, 80s"
Coheed and Cambria,Blood Red Summer,"rock, Progressive rock, emo, alternative, indie"
The Cult,Edie (Ciao Baby),"hard rock, rock, 80s, the cult, alternative"
"Busta Rhymes,  Mary J. Blige,  Rah Digga,  Missy Elliott,  Lloyd Banks,  Papoose,  DMX","Touch It - Remix/Featuring Mary J. Blige, Rah Digga, Missy Elliot, Lloyd Banks, Papoose & DMX (Edited)",Unknown
Salt-N-Pepa,Push It - Radio Version,glee
Yann Tiersen,On the Wire - Edit,Unknown
System Of A Down,Soil,"alternative metal, metal, rock, Nu Metal, alternative"
Interpol,Stella was a diver and she was always down,"indie, indie rock, post-punk, alternative, interpol"
John Denver,Let It Be,"cover, folk, acoustic, beatles cover, 70s"
Joni Mitchell,Blue,"folk, singer-songwriter, female vocalists, piano, joni mitchell"
Nujabes,The Final View,"Hip-Hop, nujabes, Jazz Hop, hip hop, beautiful"
Bing Crosby,Silent Night,"christmas, oldies, holiday, bing crosby, crooners"
The Rolling Stones,19th Nervous Breakdown - Mono Version,Unknown
"Paul McCartney,  Linda McCartney",Heart Of The Country - Remastered 2012,P Artist
"Chalino Sanchez,  Los Amables Del Norte",Juan Machado,Unknown
City and Colour,"Hello, I'm In Delaware","acoustic, indie, relaxing, chill, singer-songwriter"
川村ゆみ,キミの記憶,"game, dream pop, Persona 3, atlus, kiminokioku"
Hank Locklin,"Please Help Me, I'm Falling","country, classic country, oldies, Hank Lockling, Hank Locklin"
Pink Floyd,See Emily Play,"Psychedelic Rock, psychedelic, classic rock, 60s, rock"
Chalino Sanchez,Tino Quintero,Unknown
Harry J Allstars,Liquidator,"ska, rocksteady, reggae, instrumental, skinhead reggae"
"Paul McCartney,  Linda McCartney",Monkberry Moon Delight - Remastered 2012,Unknown
Focus,Hocus Pocus - Original Single Version,"classic rock, prog"
Héctor Lavoe,Escarchas,"salsa, spanish lyrics"
Red Sovine,Teddy Bear,"country, sad, emotional, classic country, makes you think"
Grupo Libra,A Mentir A La Calle,Unknown
Apollo 440,Stop the Rock - Apollo 440 Mix,"Energetic, uptempo"
Avenged Sevenfold,Sidewinder,"metal, metalcore, AVENGED SEVENFOLD, hard rock, rock"
Cock Robin,The Promise You Made,"80s, pop, rock, oldies, new wave"
"Doris Day,  The Mellomen",If I Give My Heart to You (with The Mellomen),Unknown
"The Red Army Choir,  Boris Alexandrov",Katioucha,"choral, russian, Soviet"
Orbital,Belfast,"electronic, ambient, techno, electronica, chillout"
TOOL,Hush,"Progressive metal, rock, Progressive rock, alternative metal, tool"
U2,Lemon,"rock, 90s, U2, alternative rock, alternative"
Steely Dan,Babylon Sisters,"steely dan, classic rock, Jazz Rock, rock, jazz"
The Beatles,Real Love - Anthology 2 Version,"john lennon, posthumous, LORENZO PANDA"
Julio Iglesias,La Cumparsita,"tango, romantic, julio iglesias, latin, spanish"
Vico C,Aquel Que Habia Muerto,latin
Los Fugitivos,Corazón Mágico,Unknown
Rod Stewart,Mandolin Wind,"classic rock, rock, 70s, rod stewart, pop"
Los Canelos De Durango,La Vida Mafiosa,Unknown
Rod Stewart,(Find A) Reason To Believe,"classic rock, soft rock, rod stewart, piano, adult contemporary"
"blink-182,  Robert Smith\xa0",All Of This,"punk rock, rock, punk, pop punk, alternative"
Los Tucanes De Tijuana,Clave Nueva,mexican music
"Asha Bhosle,  Bhupinder",Kisi Nazar Ko Tera Intezar,Unknown
Poison,Life Goes On - Remastered,Unknown
"C & C Music Factory,  Freedom Williams",Things That Make You Go Hmmmm.... (feat. Freedom Williams),Unknown
Air Supply,Keeping the Love Alive,"soft rock, soft pop, Air Supply, pop, 80s"
Lisandro Meza,Vuelve,Unknown
Sex Pistols,God Save the Queen,"punk, punk rock, british, 70s, rock"
Bayside,"Sick, Sick, Sick","rock, alternative rock, punk rock, melodic, rock band"
Mandisa,Stronger,"christian, pop, Love, 5, linedance"
El Coyote Y Su Banda Tierra Santa,Puño De Tierra,Puno de tierra
Rick Ross,Mafia Music,"rap, hip hop, rick ross, miami, mafia"
"Willie Colón,  Héctor Lavoe",Ah-Ah / O-No,Unknown
System Of A Down,Pictures,"alternative metal, metal, System of a Down, Nu Metal, alternative"
Ledisi,Pieces Of Me,"female vocalists, rnb, Neo Soul, ledisi, soul"
Don Williams,Good Ole Boys Like Me,"country, classic country, Don Williams, americana, 70s"
Grupo Exterminador,El Dia Que Me Muera,Unknown
Sam Cooke,That's Where It's At,"soul, 60s, sam cooke, oldies, 1964"
Martina McBride,I'm Gonna Love You Through It,"country, female vocalists, Love, pop, great song"
The Stone Roses,Shoot You Down - Remastered,"indie pop, jangle pop, psychedelic pop, dream pop, blues rock"
El Haragán y Compañía,El No Lo Mató,Unknown
Zhang Yu Sheng,大海,Unknown
Cocteau Twins,Iceblink Luck,"dream pop, shoegaze, ethereal, female vocalists, Cocteau Twins"
Y&T,Summertime Girls - Studio Version,1985
Creedence Clearwater Revival,Sail Away,"swamp rock, roots rock, classic rock, Southern Rock, country rock"
Sade,The Sweetest Gift,"female vocalists, soul, Sade, Smooth Jazz, jazz"
Bob Dylan,Visions of Johanna,"folk, folk rock, 60s, singer-songwriter, Bob Dylan"
"Andrew Lloyd Webber,  Emmy Rossum",Wishing You Were Somehow Here Again,"musical, Soundtrack, Phantom of the Opera, opera, musicals"
Antônio Carlos Jobim,Agua De Beber,"Bossa Nova, brasil, brazilian, jazz, brazil"
Creedence Clearwater Revival,Walking On The Water,"classic rock, Southern Rock, rock, 60s, 70's"
"Stan Getz,  João Gilberto,  Antônio Carlos Jobim",Vivo Sonhando,"Bossa Nova, jazz, Stan Getz, 1052 bossa nova, lounge"
Rey Ruiz,Amiga,"salsa, rey ruiz, amiga, more cowbell, classic salsa"
"Eric B. & Rakim,  Marley Marl",Paid In Full,"Hip-Hop, old school, hip hop, 80s, rap"
John Lennon,Jealous Guy - Ultimate Mix,Unknown
Have A Nice Life,"Holy Fucking Shit: 40,000","shoegaze, psychedelic, experimental, Dreamy, post-rock"
Death,Spirit Crusher,"death metal, progressive death metal, Technical Death Metal, metal, death"
Silvio Rodríguez,"La Familia, la Propiedad Privada y el Amor","singer-songwriter, cuba, comedy, trova, nueva trova"
The Beatles,Boys - Remastered 2009,"cover, girls, Otsego, girls girls girls , gender x"
Lakeside,Fantastic Voyage,"funk, lakeside, Fantastic Voyage, soul, Disco"
Travis Tritt,Best of Intentions,"country, travis tritt, Best of intentions, classic country, male country"
MGMT,Indie Rokkers,"indie, electronic, indietronica, indie rock, Indietronic"
Pete Rock & C.L. Smooth,Straighten It Out,"Hip-Hop, Jazz Hop, hip hop, funky, east coast rap"
Marques Houston,Circle,"rnb, marques houston - circle, marques houston, Love, soul"
El Gran Combo De Puerto Rico,Esos Ojitos Negros,Unknown
Chris Rea,The Road to Hell Part 2,"rock, 80s, classic rock, soft rock, Jazz Rock"
Ahmad Jamal,I'll Never Stop Loving You,"jazz, jazz fusion, Jazz-KH"
Chelo,Mejor Me Voy,Unknown
Creedence Clearwater Revival,The Working Man,"classic rock, rock, Southern Rock, blues rock, 60s"
Yoskar Sarante,Llora Alma Mía,Unknown
"Murphy Lee,  Jermaine Dupri",Wat Da Hook Gon Be - Dirty,Unknown
JAY-Z,Song Cry,"Hip-Hop, jay-z, rap, hip hop, just blaze"
Ani DiFranco,Both Hands,"folk, female vocalists, acoustic, indie, ani difranco"
R. Carlos Nakai,Ancestral Home,"native american, instrumental, world, new age, ethnic"
"Serge Gainsbourg,  Jane Birkin",Ballade de Melody Nelson,"french, chanson francaise, 70s, pop, french pop"
J.J. Cale,Call The Doctor,"blues, rock, singer-songwriter, Mellow, classic rock"
"Bing Crosby,  The Andrews Sisters",Jingle Bells - Single Version,Unknown
"Sergei Prokofiev,  Royal Scottish National Orchestra,  Neeme Järvi","Lieutenant Kijé, Op. 60: IV. Troika",Unknown
Brenda Lee,The End Of The World,"oldies, 60s, Brenda Lee, pop, cover"
Bastille,Flaws,"indie, 2010s, pop, british, music for my soul"
"Frank Sinatra,  Frank Sinatra Jr.,  Nancy Sinatra,  Christina Sinatra,  The Jimmy Joyce Singers",The Twelve Days Of Christmas,"christmas, jazz, pop"
José José,La Barca,Unknown
Type O Negative,My Girlfriend's Girlfriend,"Gothic Metal, Gothic, metal, doom metal, Type O Negative"
Creedence Clearwater Revival,Lookin' For A Reason,"classic rock, Southern Rock, rock, roots rock, swamp rock"
Roselle Nava,Dahil Mahal Na Mahal Kita,Unknown
"John Mayall & The Bluesbreakers,  Eric Clapton",Hideaway - Mono Instrumental,"blues rock, blues, instrumental, British Blues, pure-"
John Scofield,A Go Go,"jazz, jazz guitar, Fusion, funk, guitar"
Dwight Yoakam,Suspicious Minds,"country, cover, covers, 90s, classic country"
Juan Gabriel,Aunque Te Enamores,"puro pop, todox, pop5x, aunque te enamores"
"""Guns N Roses""",Get In The Ring,Unknown
Tony Bennett,Christmasland,"Tinsel, christmas, jazz, Weihnachten, xmas"
Lucio Battisti,E penso a te,"italian, lovedbygdchill, anni 60 italia, battisti, italiana"
Dalida,Histoire d'un amour,"Dalida, chanson francaise, french, female vocalists, oldies"
The Temprees,Love...Can Be So Wonderful,"Old School soul, rnb, slow jams, old school classic, old school love song"
Jamiroquai,Travelling Without Moving - Remastered,Unknown
Ms. Lauryn Hill,Intro,Unknown
Liza Minnelli,Maybe This Time,"female vocalists, musicals, cabaret, jazz, Soundtrack"
50 Cent,High All The Time,"rap, Hip-Hop, Gangsta Rap, 50 Cent, hip hop"
"Nikolai Rimsky-Korsakov,  Isaac Stern,  Milton Katims,  Columbia Symphony Orchestra",Flight of the Bumblebee,"Classical, russian, sitrc: insects and arachnids, romantic, strings"
The Cats,Lea,"oldies, pop, nederlands, classic rock, 60s"
Rodríguez,Rich Folks Hoax,Unknown
Tears For Fears,Goodnight Song,"new wave, 80s, pop, rock, chill"
John Williams,Setting the Trap - Instrumental,Unknown
