artists,name,genres
Tom Petty and the Heartbreakers,"Shadow Of A Doubt (A Complex Kid) - Live At Hammersmith Odeon, London, England/1980",Unknown
"Chet Atkins,  Jerry Reed",Mystery Train,"jazz, country, instrumental, blues, country blues"
Triumph,Movin' On,"classic rock, hard rock, rock, 70s, Cool music"
"Big Brother & The Holding Company,  Janis Joplin",Light Is Faster Than Sound,"rock, classic rock, Psychedelic Rock, psychedelic, rock-baladas"
Warren Zevon,Bill Lee,"names, classic rock, rock, alternative, alternative rock"
Andy Gibb,Warm Ride,"Disco, pop, classic, female vocalists, Around 70s"
The Yardbirds,Little Games - 2003 Remaster,Unknown
Ennio Morricone,Run Man Run - Titoli finale - Remastered,Unknown
Ennio Morricone,Sentence - Sentenza,Unknown
Creedence Clearwater Revival,Keep On Chooglin' - Live,Unknown
Paul Desmond & The Modern Jazz Quartet,Greensleeves - Live,Unknown
Ted Nugent,"Yank Me, Crank Me","hard rock, classic rock, nugent, heavy metal, rock"
"Pyotr Ilyich Tchaikovsky,  André Previn,  London Symphony Orchestra","Tchaikovsky: The Sleeping Beauty, Op. 66, Prologue ""The Christening"": No. 1b, Marche de salon",Unknown
Government Issue,Religious Ripoff,"christian rock, hardcore, GI joe does not approve, punk minute, ushc"
T.S.O.L.,I'm Tired of Life,"alternative rock, punk rock, 80s, favorite songs, indie rock"
Ted Nugent,Paralyzed,"hard rock, classic rock, heavy metal, barbwire ted nuget, rock"
Triumph,Petite Etude,"hard rock, instrumental, the evening shadows, rock, guitar virtuoso"
Percy Sledge,Love Me Like You Mean It,Unknown
Lee Hazlewood,Not The Lovin' Kind,"fip, old timey, too many strings"
Adolescents,Things Start Moving,"punk, hardcore punk, hardcore, punk rock, rock"
Van Morrison,Saint Dominic's Preview - Live,Unknown
Wasted Youth,Punk for a Day,hardcore punk
Pan Ron,Rom Jongvak Twist (Dance Twist),Unknown
Sam & Dave,Ease Me,rnb
Bob Dylan,"Up on Cripple Creek - Live at LA Forum, Inglewood, CA - February 1974",Unknown
Muzak Orchestra,Star Eyes,Unknown
George Jones,Someday My Day Will Come,"country, 70s, Favorite Artists, classic country, Ballad"
DEVO,Race of Doom - 2010 Remaster,Unknown
Leo Kottke,Tumbling Tumbleweeds,"acoustic guitar, country, gammarec, present participle, Leo Kottke"
Elvis Presley,Am I Ready,"pop, 60s, catchy, Rock  Roll, 60's"
Joni Mitchell,"Both Sides Now - Live at Universal Amphitheatre, Los Angeles, CA, 8/14-17, 1974",Unknown
Zero Boys,Hightime,"80s, hardcore, punk rock, hardcore punk"
The Animals,You're on My Mind,"classic rock, 60s, rock, oldies, blues rock"
The Rolling Stones,Let's Spend The Night Together - Mono,Unknown
The Cramps,Mystery Plane - 1989 DIgital Remaster,Unknown
Joni Mitchell,"Woodstock - Live at Universal Amphitheatre, Los Angeles, CA, 8/14-17, 1974",Unknown
Nancy Sinatra,If He'd Love Me,"60s, female vocalists, Unrequited Love, all my failed romantic interests wrapped up in a beautiful little bow called this song, 4 little letters"
Andy Williams,Home Lovin' Man - Single Version,Unknown
Lucinda Williams,King of Hearts,"country, singer-songwriter, folk, female vocalists, Alt-country"
Lucinda Williams,Maria,"country, classic rock, folk, singer-songwriter, alt country"
Del Ectro,Shellfire,Unknown
Michael Jackson,"Happy (Love Theme From ""Lady Sings The Blues"")","pop, 70s, soul, 123 drippy sappy, michael jackson"
Jackie Wilson,I Need Your Loving,Unknown
Alabama,Five O'Clock 500,"country, country rock, Like, Southern Rock, Alabama"
Los Felinos,Me Acuerdo De Ti,Unknown
Ted Nugent,Hard as Nails,"hard rock, classic rock, rock"
Nancy Sinatra,In Our Time,"60s, female vocalists, pop, classic rock, favorites"
The Jim Carroll Band,Wicked Gravity,"punk, rock, 80s, Post punk, punk rock"
Emmylou Harris,Darkest Hour Is Just Before the Dawn - 2002 Remaster,Unknown
Impacto Crea,Hable Con El Señor,Unknown
Miles Davis,"Walkin' - Live at Philharmonic Hall, New York, NY - February 1964",Unknown
Ismael Rivera,Suena El Bongó,Unknown
Pete Townshend,I Am An Animal,"Pete Townshend, classic rock, 80s, rock, Favourites"
Waylon Jennings,You Can Have Her,"country, outlaw country, pop, 70s, loved"
Nancy Sinatra,Cryin' Time,"pop, 60s, female vocalists, oldies"
Jack Jones,The Shadow Of Your Smile,"vocal, male, pop, easy listening, THE SHADOW OF YOUR SMILE"
Joni Mitchell,"Real Good for Free - Live at Berkeley Community Theater, Berkeley, CA, 3/2/1974",Unknown
"Pyotr Ilyich Tchaikovsky,  André Previn,  London Symphony Orchestra","Tchaikovsky: The Sleeping Beauty, Op. 66, Prologue ""The Christening"": No. 3h, Pas de six. Variation VI ""The Lilac Fairy""",Unknown
The Brothers Johnson,Treasure,"funk, slow, romantic, slow jams, Love this song"
Johnny Cash,O Come All Ye Faithful,"christmas, xmas, christmas spirit, holiday, country christmas"
Joni Mitchell,"Rainy Night House - Live at Universal Amphitheatre, Los Angeles, CA, 8/14-17, 1974",Unknown
Bobby Bare,Help Me Make It Through the Night,"country, easy listening, night, classic country, jo"
The Kinks,Here Come the People in Grey,"classic rock, 70s, british, country-rock, country rock"
Chuck Berry,San Francisco Dues,"70s, blues, male vocalist, electric blues, Chicago Blues"
Cream,"Sitting On Top Of The World - Live At The Forum, Los Angeles / 1968",Unknown
George Harrison,Tabla And Pakavaj,"Indian, instrumental, sitar, 60s, experimental"
Johnny Rivers,Look To Your Soul - Remastered,Unknown
Mountain,Southbound Train,"mountain, classic rock, heavy metal, hard rock, blues rock"
Sly & The Family Stone,I Want to Take You Higher - Single Version,"soul, funk"
The Byrds,Jesus Is Just Alright,"classic rock, rock, 60s, folk rock, country rock"
The Kinks,Arthur,"classic rock, 60s, british, rock, catchy"
David Bowie,"Seven Years In Tibet - Live at Radio City Music Hall New York, 15th October, 1997; 2020 Remaster",Unknown
Quincy Jones,Dead End,"ended, jazz, My Jazz"
Wendy & Bonnie,I Realized You,"psychedelic pop, hippie, title is a full sentence, dreamy sun, songs to sit on the grass and wonder"
Stevie Wonder,You And Me,"soul, motown, funk, Stevie Wonder, pop"
The Beach Boys,Our Prayer - Remastered 2001,Unknown
"""Alexander Skip Spence""",Cripple Creek,Unknown
Stevie Wonder,Give Your Love,"soul, Stevie Wonder, motown, classic rock, chillout"
The Stooges,Not Right,"proto-punk, rock, Garage Rock, 60s, punk"
Herbie Hancock,First Trip - Remastered 2004,Unknown
Sonny Sharrock,Black Woman,"free jazz, vocal, guitar, jazz guitar, jazz"
Scott Walker,The Girls And The Dogs,"jacques brel, covers, scott walker, rock, chamber pop"
The Who,Overture - Live / Including Introduction,Unknown
Nancy Wilson,Oh! Look At Me Now,"jazz fusion, Jazz Vocal Tag"
"Santos Colón,  Tito Puente",Ay Cariño,Unknown
The Manhattans,Let's Start It All Over Again,soul and rnb classics
Nina Simone,Mississippi Goddam - Live,Unknown
"Marvin Gaye,  Tammi Terrell",You Ain't Livin' Till You're Lovin',"soul, marvin gaye, 60s, easy listening, motown"
The Byrds,Old John Robertson,"60s, folk-rock, rock, psychedelic, folk rock"
Ray Barretto,The Teacher Of Love,"funky, latin jazz, world, latin, male vocalists"
Bee Gees,Kilburn Towers,"123 drippy sappy, 60s, soft rock"
Donovan,Teas,"folk, 60s, singer-songwriter, rock, psychedelic"
Elvis Presley,Medley: Dialogue / Where Could I Go but to the Lord / Up Above My Head / Saved - Live from the '68 Comeback Special,Unknown
Ultimate Spinach,Fifth Horseman of the Apocalypse,"Psychedelic Rock, 60s, psychedelic, psych-rock, Ultimate Spinach"
Spada,Part Of Me - Mixed,Unknown
Claudine Longet,I Think It's Gonna Rain Today,"60s, female vocalists, covers, Gilmore Girls, french"
Ray Barretto,Mi Ritmo Te Llama,salsa
Miles Davis,Madness,"jazz, trumpet, instrumental, Post-Bop, miles davis"
Edu Imbernon,Rinascimento - Mixed,Unknown
Journey,Look into the Future,"classic rock, rock, 70s, arena rock, pop"
The Pretty Things,Private Sorrow,"60s, Psychedelic Rock, psychedelic, classic rock, Progressive rock"
Eddie Kendricks,He's A Friend,"soul, gospel, 70s, motown, rnb"
"Bill Evans,  BOB SCHWARZ",Nardis,"jazz, jazz piano, piano, instrumental, piano jazz"
George Harrison,Ski-ing,"instrumental, Psychedelic Rock, indie, rock, 60s"
George Harrison,In The Park,"sitar, Soundtrack, 60s, instrumental, psychedelic"
Louis Armstrong,'Bout Time,"jazz, Soundtrack, easy listening, swing, covers"
"Chet Atkins,  Les Paul",Avalon,"jazz, country, guitar"
Albert King,Watermelon Man - Live,"blues, rhythm and blues, Chicago Blues, Great guitar solos, electric blues"
Dr. Hook,Penicillin Penny,"70s, classic rock, rock, USA, sex"
The West Coast Pop Art Experimental Band,A Child's Guide to Good and Evil,"60s, psychadelic, experimental, dark, sitar"
Duke Pearson,The Phantom,"jazz, Vibraphone, lekkere jazz, blue note, Bobby Hutcherson"
Louis Armstrong,Heigh-Ho (The Dwarf's Marching Song),jazz
Tommy Bolin,Sweet Burgundy,"rock, 70s, 302ooo"
Jackie Wilson,Eleanor Rigby,"cover, soul, 60s, beatles cover, the beatles cover"
Diana Ross,"Love Hangover - Live At The Ahmanson Theatre, 1976",Unknown
The Kinks,Juke Box Music,"rock, classic rock, 70s, british, hard rock"
Burt Bacharach,"Come Touch The Sun - From ""Butch Cassidy And The Sundance Kid"" Soundtrack",Unknown
Ed Bruce,There Ain't No Good Chain Gang,country
Pharoah Sanders,Love Will Find a Way,"jazz fusion, cool jazz, harp, jazzawakening, drumbreak"
Teddy Pendergrass,"Easy, Easy, Got To Take It Easy","soul, soul and rnb classics, 80s, philly soul, teddy pendergrass"
Badfinger,Midnight Sun - Remastered 2010,Unknown
Andy Gibb,I Go For You,"123 drippy sappy, 70s, soft rock, Ballad, andy gibb"
Canned Heat,The Road Song,"blues, blues rock, rock, cosmic country and psychedelic americana, classic rock"
Mountain,Travellin' In the Dark (To E.M.P.),"hard rock, classic rock, rock, 70s, Southern Rock"
Ry Cooder,Taxes on the Farmer Feeds Us All,"traditional, american, economics, Tag, modern electric blues"
Willie Nelson,"Crazy - Live at Harrah's Casino, Lake Tahoe, NV - April 1978",Unknown
Faye Fang Kaew,มีสิทธิ์เจ็บถึงเมื่อไหร่ (In The End),Unknown
Linda Ronstadt,Alison,"70s, soft rock, cover, pop, covers"
Elton John,Burn Down The Mission (Incl. My Baby Left Me / Get Back),Unknown
Charles Aznavour,Je t'attends,"french, chanson, Love, fip, male vocalists"
Cheap Trick,"Come On, Come On - Live at Nippon Budokan, Tokyo, JPN - April 1978",Unknown
The Band,Don't Do It - Remastered 2000,Unknown
"Cheech And Chong with Alice Bowie,  Alice Bowie",Earache My Eye,"comedy, Soundtrack, metal, rock, humour"
Cheap Trick,On the Radio,"power pop, 70s, classic rock, rock, 80s"
Townes Van Zandt,"High, Low And In Between","folk, country, favorite songs, singer-songwriter, folkrock"
Michael Hurley,Red Ravagers Reel,"folk, acoustic, americana"
Donny Osmond,Sweet And Innocent,"1971, donny osmond, pop, bubble gum, Donny"
Bee Gees,To Love Somebody - Mono,Unknown
Chicago,Lowdown - 2002 Remaster,Unknown
Barbra Streisand,Songbird,"Ballad, pop, 70s, 1978, female vocalist"
Cheap Trick,How Are You?,"power pop, 80s, rock, 70s, sexy"
Clive Richardson,Gay Activity,"Light Music, 3 of 10 stars, Ren and Stimpy, Kerrassaan loistavaa, rocko's modern life"
Daryl Hall & John Oates,Melody For A Memory,"70s, pop, pop rock, male vocalists, ballads"
John Fahey,Special Rider Blues,"Fingerpicking, folk, blues, colours, special rider blues"
Michel Polnareff,Voyages,"french, instrumental, psychedelic, rock, experimental"
The Guess Who,Talisman,"classic rock, 70s, Progressive rock, acoustic, Canadian"
The Turtles,Like The Seasons,"60s, Love it, gammarec"
Dorothy Ashby,For Some We Loved,"jazz, jazz fusion, harp, World jazz, saxophone"
Leon Russell,I Put A Spell On You,"blues-rock, classic rock, 70s, seen live, cover"
Dolly Parton,"Gypsy, Joe and Me",Unknown
Ike Turner & The Kings Of Rhythm,Thinking Black,"singer on a lunch break, r&b, fip, somafm, fantasy tarantino soundtrack"
Nina Simone,The Backlash Blues - Remastered,Unknown
Merle Haggard,Making Believe,"country, american country"
The Emotions,Blessed,"soul, female vocalists, r&b, christian, gospel"
MC5,I Want You Right Now,"proto-punk, Garage Rock, hard rock, rock, 60s"
"Big Bird,  ""Sesame Streets Olivia""",Golden Slumbers II,Unknown
Percy Sledge,Sudden Stop,"soul, oldies, Southern Soul, country soul, Brems Tagg radio"
Spirit,Prelude - Nothin' to Hide,"Psychedelic Rock, rock, psychedelic, classic rock, favorites"
Chicago,Where Do We Go from Here - 2002 Remaster,Unknown
The Flying Burrito Brothers,If You Gotta Go,"country rock, classic rock, americana, country, cover"
Van Morrison,Virgo Clowns - 1999 Remaster,Unknown
The Byrds,Truck Stop Girl,"rock, folk, country, 60s, piano"
Dolly Parton,Daddy Come And Get Me,"country, 60s, 70s, Ballad, 1969"
Nina Simone,Take My Hand Precious Lord - Remastered,Unknown
Tom Rush,Lost My Drivin' Wheel,"folk, singer-songwriter, 70s, folk rock, Ballad"
The Meters,9 'til 5,"funk, soul, New Orleans, instrumental, louisiana"
"Wolfgang Amadeus Mozart,  Walter Berry,  Otto Klemperer,  Philharmonia Orchestra","Mozart: Die Zauberflöte, K. 620, Act 2 Scene 23: No. 20, Arie, ""Ein Mädchen oder Weibchen"" (Papageno)",Unknown
"Chet Atkins,  Jerry Reed",Stump Water,Unknown
Dyke & The Blazers,Funky Broadway Part 1,"soul, costello 500"
The Guess Who,Do You Miss Me Darlin',"classic rock, rock, 70s, hard rock, favorites"
Ten Years After,Spider In My Web - Single Version,blues
"Pharoah Sanders,  Phyllis Hyman",As You Are (feat. Phyllis Hyman),Unknown
"Coleman Hawkins,  Ben Webster",Blues For Yolande - Mono Mix,Unknown
"Irving Berlin,  Mormon Tabernacle Choir,  Jerold D. Ottley",White Christmas,"christmas, white christmas, classic Christmas, Movies, 2720 holiday jazz"
Bill Evans Trio,My Foolish Heart - Live,Unknown
Dexter Gordon,Willow Weep For Me - Remastered,Unknown
The Surfaris,Surfer Joe - Hit Version,Unknown
Thelonious Monk,Bright Mississippi - Take 3,Unknown
James Brown,"Introduction By Fats Gonder/ Opening Fanfare - Live At The Apollo Theater, 1962",Unknown
Martha Reeves & The Vandellas,Hello Stranger,"60s, pop, soul, motown, cover"
Walter Wanderley,Zé De Conceição,Unknown
Hank Snow,The Wreck of the Number Nine,Unknown
Robert Goulet,This Christmas I Spend with You,christmas
Mose Allison,If You Live,"effortlessly cool, jazz fusion, fip, zonk, zonk jazz"
Joe Pass,But Beautiful,Unknown
Bob Dylan,"Boots of Spanish Leather - Live at Carnegie Hall, New York, NY - October 1963",Unknown
"Avicii,  Sandro Cavazza",Without You,Unknown
"Kenny Burrell,  John Coltrane",Freight Trane,jazz
Doc Watson,St. James Hospital,"country, bluegrass, doc watson and co"
The Dixie Cups,People Say,"60s, oldies, soul, aproragadozo loves this music, pop"
Tommy Dorsey,Song of India,"swing, Big Band, jazz, Tommy Dorsey, easy listening"
Phil Ochs,Celia,"folk, singer-songwriter, acoustic, phil ochs, mccarroll libary"
Lorne Greene,Ghost Riders in the Sky,"country, 60s, cover, traditional"
Frank Sinatra,Emily,"vocal, jazz, jazz vocal, classic, old blue eyes"
The Beach Boys,Hushabye (Mono),Unknown
Joe Bushkin,Everyday Is Christmas,jazz fusion
Martha Reeves & The Vandellas,Just One Look,"60s, pop, soul, female vocalists, Love"
Dean Martin,"Vieni Su (Say You Love Me, Too)",Unknown
Ella Fitzgerald,Maybe,"jazz, ella fitzgerald, vocal jazz, vocal, jazz vocal"
The Surfaris,Waikiki Run,"60s, California, cool, surf rock, Surf"
Johnny Cash,Busted,"country, folk, Johnny Cash, Traditional Country, classic country"
Flatt & Scruggs,I'm On My Way to Canaan's Land,bluegrass
"Zsa Zsa Padilla,  Freestyle,  Lani Misalucha",Best Of My Love,Unknown
La Sonora Santanera,De México a la Habana,Unknown
Marbella Corella,Nostalgias,Unknown
Bobby Rydell,Go Away Little Girl - Stereo,Unknown
Sonia Lopez,Polvo,Unknown
Lani Misalucha,Whitney Houston Medley,Unknown
The Avalanches,Winter Wonderland,"christmas, surf rock"
"Dale Carnegie,  Till Hagen,  Stefan Kaminski","Wie man Freunde gewinnt - Die Kunst, beliebt und einflussreich zu werden, Kapitel 3",Unknown
Ministerio Jabes,Más allá del Sol,Unknown
The Beach Boys,The Surfer Moon - Remastered 2001,Unknown
La Sonora Santanera,Bésame por Favor,Unknown
Louis Armstrong & His Hot Seven,Wild Man Blues,costello 500
Frank Sinatra,All The Way,"jazz, frank sinatra, easy listening, swing, oldies"
Jimmy Witherspoon,When The Lights Go Out,"blues, rhythm and blues, folk, starbucks, Classic Blues"
Louis Armstrong & His Hot Five,Struttin' with Some Barbecue - 78 rpm Version,Unknown
The Platters,Santa Claus Is Comin' To Town,Unknown
The Beach Boys,Girls On the Beach (Mono),Unknown
The Beach Boys,Keep An Eye On Summer - Remastered 2001,Unknown
Los Panchos,Nuestro Amor - Remasterizado,Unknown
"Bessie Smith,  Louis Armstrong",St. Louis Blues (with Louis Armstrong),jazz fusion
Eric Dolphy,Straight Up And Down - Rudy Van Gelder 24-Bit Digital Remaster/1998,Unknown
Dean Martin,I'm Confessin' (That I Love You),"jazz, 60s, crooner, dino, the lizards lounge"
Rex Harrison,I'm Just An Ordinary Man - Voice,Unknown
"Dale Carnegie,  Till Hagen,  Stefan Kaminski","Wie man Freunde gewinnt - Die Kunst, beliebt und einflussreich zu werden, Kapitel 4",Unknown
"Stan Getz,  João Gilberto",Stan's Blues - Live At Carnegie Hall/1964,Unknown
"Stanley Holloway,  André Previn",Get Me To The Church On Time - Voice,Unknown
Johnny Cash,"Goodbye, Little Darlin', Goodbye",Unknown
Charlie Louvin,See The Big Man Cry,"country, classic country"
Idina Menzel,The Most Wonderful Time Of The Year,"christmas, Christmas Songs, Christmas 2019"
Johnny Cash,Apache Tears,"country, folk, cash, Johnny Cash, Emotional Adult Rock"
"Dale Carnegie,  Till Hagen,  Stefan Kaminski","Wie man Freunde gewinnt - Die Kunst, beliebt und einflussreich zu werden, Kapitel 6",Unknown
Roger Miller,Atta Boy Girl,"country, classic country, singer-songwriter, oldies, goodbye"
The Soul Stirrers,Stand By Me Father,"soul, oldies, rhythm and blues, Favourites, street"
The Beach Boys,Salt Lake City - Remastered,Unknown
張琍敏,月兒彎彎照九州,Unknown
John Fahey,How Green Was My Valley,"folk, blues, guitar, soul, delta blues"
Frank Sinatra,I'll Only Miss Her When I Think of Her,old blue eyes
Smokey Robinson & The Miracles,Let Me Have Some,soul
The Supremes,Born Of Mary - Stereo,Unknown
